genus,type,other_subtype
Achnanthes,Diatoms,
Actinastrum,Other,Green algae
Actinoptychus,Diatoms,
Akashiwo,Dinoflagellates,
Alexandrium,Dinoflagellates,
Amphidinium,Dinoflagellates,
Amphiprora,Diatoms,
Amphora,Diatoms,
Amylax,Dinoflagellates,
Anabaena,Cyanobacteria,
Anabaenopsis,Cyanobacteria,
Anaulus,Diatoms,
Ankistrodesmus,Other,Green algae
Aphanocapsa,Cyanobacteria,
Asterionella,Diatoms,
Asterionellopsis,Diatoms,
Attheya,Diatoms,
Aulacodiscus,Diatoms,
Aulacoseira,Diatoms,
Bacillaria,Diatoms,
Bacteriastrum,Diatoms,
Bellerochea,Diatoms,
Biddulphia,Diatoms,
Brachidinium,Dinoflagellates,
Camplyosira,Diatoms,
Cerataulina,Diatoms,
Chaetoceros,Diatoms,
Chattonella,Dinoflagellates,
Chlorophyte,Other,Green algae
Choanoflagellate,Dinoflagellates,
Chroococcus,Cyanobacteria,
Chroomonas,Other,Cryptophytes
Chrysochromulina,Other,Haptophytes
Chrysophyte,Other,Chrysophytes (golden algae)
Ciliates,Other,Ciliates
Climacodium,Diatoms,
Coccolithophorid,Other,Coccolithophores
Cocconeis,Diatoms,
Cochlodinium,Dinoflagellates,
Coelastrum,Other,Green algae
Coelosphaerium,Cyanobacteria,
Corethron,Diatoms,
Coscinodiscus,Diatoms,
Cryptomonad,Other,Cryptophytes
Cyanobacteria,Cyanobacteria,
Cyanotetras,Cyanobacteria,
Cyclotella,Diatoms,
Cylindrospermopsis,Cyanobacteria,
Cylindrotheca,Diatoms,
Cylindrothecoid,Other,
Cymatosira,Diatoms,
Cymbella,Diatoms,
Dactyliosolen,Diatoms,
Desmid,Other,Green algae
Detritus,Other,
Diatom,Diatoms,
Dictyocha,Other,Silicoflagellates
Dictyosphaerium,Other,Green algae
Dinocyst,Dinoflagellates,
Dinoflagellate,Dinoflagellates,
Dinophysis,Dinoflagellates,
Diploneis,Diatoms,
Diplopsalis,Dinoflagellates,
Diplopsaloid,Dinoflagellates,
Ditylum,Diatoms,
Ebria,Other,
Entomoneis,Diatoms,
Erythropsidinium,Dinoflagellates,
Eucampia,Diatoms,
Euglena,Other,
Euglenoid,Other,
Eunotogramma,Other,Brown algae
Euplotes,Other,Ciliates
Eutreptia,Other,
Fibrocapsa,Other,Raphidophyceans
Flagellate,Other,Flagellates
Fragilaria,Diatoms,
Gambierdiscus,Dinoflagellates,
Gloeocapsa,Cyanobacteria,
Gomphonema,Diatoms,
Gomphosphaeria,Cyanobacteria,
Goniodoma,Dinoflagellates,
Gonyaulax,Dinoflagellates,
Grammatophora,Diatoms,
Guinardia,Diatoms,
Gymnodinium,Dinoflagellates,
Gymnodinoid,Dinoflagellates,
Gyrodinium,Dinoflagellates,
Gyrosigma,Diatoms,
Haslea,Diatoms,
Helicotheca,Diatoms,
Hemiaulus,Diatoms,
Hermesinum,Other,
Heterocapsa,Dinoflagellates,
Heterosigma,Other,Raphidophyceans
Hillea,Other,Cryptophytes
Johannesbaptistia,Diatoms,
Karenia,Dinoflagellates,
Karlodinium,Dinoflagellates,
Katodinium,Dinoflagellates,
Kryptoperidinium,Dinoflagellates,
Lebouridinium,Dinoflagellates,
Leptocylindrus,Diatoms,
Levanderina,Dinoflagellates,
Licmophora,Diatoms,
Limnothrix,Cyanobacteria,
Lingulodinium,Dinoflagellates,
Lioloma,Diatoms,
Lithodesmium,Diatoms,
Lyngbya,Cyanobacteria,
Margalefidinium,Dinoflagellates,
Melosira,Diatoms,
Merismopedia,Cyanobacteria,
Mesodinium,Other,Ciliates
Meuniera,Other,Brown algae
Microcystis,Cyanobacteria,
Microdiatoms,Diatoms,
Microflagellates,Other,Flagellates
Microphytoflagellates,Other,Flagellates
Monoraphidium,Other,Green algae
Nanodiatoms,Diatoms,
Nanoflagellates,Other,Flagellates
Nanoplankton,Other,
Navicula,Diatoms,
Naviculoid,Diatoms,
Neocalyptrella,Diatoms,
Nitzschia,Diatoms,
Nitzschioid,Diatoms,
Nusuttodinium,Dinoflagellates,
Octactis,Other,Silicoflagellates
Odontella,Diatoms,
Oscillatoria,Cyanobacteria,
Oxyphysis,Dinoflagellates,
Oxyrrhis,Dinoflagellates,
Oxytoxum,Dinoflagellates,
Pandorina,Other,Green algae
Paralia,Diatoms,
Pediastrum,Other,Green algae
Peridiniopsis,Dinoflagellates,
Peridinium,Dinoflagellates,
Phacus,Other,
Phaeodactylum,Diatoms,
Phalacroma,Dinoflagellates,
Picoplankton,Other,
Pinnularia,Diatoms,
Plagiogramma,Diatoms,
Plagiogrammopsis,Diatoms,
Plagiotropis,Diatoms,
Pleurosigma,Diatoms,
Pleurosigmataceae,Diatoms,
Podolampas,Dinoflagellates,
Polykrikoid,Dinoflagellates,
Polykrikos,Dinoflagellates,
Prasinophyte,Other,Green algae
Proboscia,Diatoms,
Pronoctiluca,Dinoflagellates,
Prorocentrum,Dinoflagellates,
Proterythropsis,Dinoflagellates,
Protoceratium,Dinoflagellates,
Protoperidinium,Dinoflagellates,
Pseudanabaena,Cyanobacteria,
Pseudo-nitzschia,Diatoms,
Pseudosolenia,Diatoms,
Pyramimonas,Other,Green algae
Pyrocystis,Dinoflagellates,
Pyrodinium,Dinoflagellates,
Pyrophacus,Dinoflagellates,
Radiolarians,Other,
Raphidophyte,Other,Raphidophyceans
Rhabdosphaera,Other,
Rhaphoneidaceae,Diatoms,
Rhaphoneis,Diatoms,
Rhizosolenia,Diatoms,
Rhodomonas,Other,Cryptophytes
Salpingoeca,Other,Flagellates
Scenedesmaceae,Other,Green algae
Scenedesmus,Other,Green algae
Scrippsiella,Dinoflagellates,
Scrippsielloid,Dinoflagellates,
Skeletonema,Diatoms,
Snowella,Cyanobacteria,
Spirulina,Cyanobacteria,
Staurastrum,Other,Green algae
Stephanodiscus,Diatoms,
Stephanopyxis,Other,Brown algae
Striatella,Diatoms,
Strombidium-like,Other,Ciliates
Sundstroemia,Diatoms,
Surirella,Diatoms,
Synedra,Diatoms,
Syracosphaera,Other,Coccolithophores
Tabellaria,Diatoms,
Takayama,Dinoflagellates,
Teleaulax,Other,Cryptophytes
Thalassionema,Diatoms,
Thalassiosira,Diatoms,
Thalassiothrix,Other,Brown algae
Tintinnidae,Other,Ciliates
Torodinium,Dinoflagellates,
Triceratium,Diatoms,
Trichodesmium,Cyanobacteria,
Tripos,Dinoflagellates,
Tropidoneis,Diatoms,
Vorticella,Other,Ciliates
Warnowia,Dinoflagellates,
Warnowioid,Dinoflagellates,
Zygnema,Other,Green algae
